trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1}",25,7,-51.61329113820719,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0}",20,15,-1.654592150975696,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0}",20,0,-92.90177001881892,"{0: 15, 1: 1, 2: 0, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0}",25,0,-24.575043428689757,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0}",20,0,5.970659887033683,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0}",25,4,-29.21456381215346,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0}",25,0,-112.94730492805007,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0}",25,0,-16.644350815649513,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0}",20,0,-10.846027700191954,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0}",25,0,-79.75439179719406,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0}",25,2,24.442319179186217,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0}",20,6,23.81337202596724,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0}",20,0,7.275973568571484,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0}",30,7,-31.461240567470547,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0}",20,0,-8.095125151811592,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0}",25,0,-3.4971803863806032,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0}",30,0,-23.381588030228457,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0}",25,3,-3.6464806672567986,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0}",20,11,11.258844313588751,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0}",25,20,9.161128236102623,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,19,8.249881936882453,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,24.84495628770071,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,14,17.53733971730946,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,0,11.162892131344947,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,18.795832760660783,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-29.040435604161917,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,3,-19.737464482110067,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",25,10,22.22287647784792,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-9.444799183848824,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-17.41067195359597,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
